[2017-03-13 14:19:45,168] [access] [INFO] [epi_1] ### VAOS 3.1.0-2017-02-09-15-53-38-eng-builtbot
[2017-03-13 14:19:45,168] [access] [INFO] [epi_1] 
[2017-03-13 14:19:45,168] [access] [INFO] [epi_1]  Running inside EPI cli console
[2017-03-13 14:19:45,168] [access] [INFO] [epi_1] varmour@vArmour#ROOT> 
[2017-03-13 14:19:45,169] [access] [INFO] [epi_1] varmour@vArmour#ROOT> 
[2017-03-13 14:19:45,170] [access] [INFO] [epi_1] 
[2017-03-13 14:19:45,170] [access] [INFO] [epi_1] varmour@vArmour#ROOT> 
[2017-03-13 14:19:45,171] [feature] [INFO] cli initiated
[2017-03-13 14:19:45,232] [vautils] [INFO] {'hvisor_1': {'hvobj': <vautils.resource.Esxi object at 0x7f6a0345c1d0>, 'vSwitch1': <vautils.resource.network.esxvswitch.EsxVswitch object at 0x7f6a03404cc0>, 'vSwitch2': <vautils.resource.network.esxvswitch.EsxVswitch object at 0x7f6a03c1c4e0>}}
[2017-03-13 14:19:45,419] [access] [INFO] [epi_1_nocli] 
[2017-03-13 14:19:45,420] [access] [INFO] [epi_1_nocli] Build: 3.1.0-2017-02-09-15-53-38-eng-epi-builtbot
[2017-03-13 14:19:45,420] [access] [INFO] [epi_1_nocli] 
[2017-03-13 14:19:45,420] [access] [INFO] [epi_1_nocli] Welcome to vArmour!
[2017-03-13 14:19:45,421] [access] [INFO] [epi_1_nocli] varmour_no_cli@vArmour:/usr-varmour/home/varmour_no_cli$ 
[2017-03-13 14:19:45,422] [access] [INFO] [epi_1_nocli] 
[2017-03-13 14:19:45,423] [access] [INFO] [epi_1_nocli] varmour_no_cli@vArmour:/usr-varmour/home/varmour_no_cli$ 
[2017-03-13 14:19:45,423] [feature] [INFO] cli initiated
[2017-03-13 14:19:45,426] [access] [INFO] [epi_1_nocli] 
[2017-03-13 14:19:45,426] [access] [INFO] [epi_1_nocli] varmour_no_cli@vArmour:/usr-varmour/home/varmour_no_cli$ 
